ISO3,year,value
TZA,2018,17272334.445778653
TZA,2019,17686869.556870177
THA,1991,18252028.20194181
THA,1992,18697915.423153583
THA,1993,17654560.68765263
THA,1994,17638348.26174494
THA,1995,16735971.862894056
THA,1996,16539298.822633617
THA,1997,17021238.412270695
THA,1998,17466262.825309202
THA,1999,16574950.835940916
THA,2000,17086794.52429411
THA,2001,16259024.94369797
THA,2002,15702775.221603837
THA,2003,15109110.838260958
THA,2004,14464831.898203105
THA,2005,14445820.102575704
THA,2006,14947507.98237968
THA,2007,15142222.97767107
THA,2008,15404191.095
THA,2009,15278969.849139784
THA,2010,14895220.905
THA,2011,16429126.153970664
THA,2012,16901310.790344097
THA,2013,16392595.585
THA,2014,13040034.139364127
THA,2015,12563078.871987212
THA,2016,12047812.025203472
THA,2017,12108761.11069763
THA,2018,12505138.310259163
THA,2019,12147862.641716652
TGO,1991,612326.8384311544
TGO,1992,626839.7039815548
TGO,1993,647421.4273266174
TGO,1994,653594.7207031767
TGO,1995,664494.3463866246
TGO,1996,679986.2810909408
TGO,1997,693091.8568437006
TGO,1998,721794.7823636297
TGO,1999,746052.0132063249
TGO,2000,772512.96
TGO,2001,793302.066639082
TGO,2002,809046.1480005267
TGO,2003,820117.1097770629
TGO,2004,843520.2127309825
TGO,2005,874047.0622045113
TGO,2006,892623.2662741451
TGO,2007,918022.446144734
TGO,2008,936051.3059189932
TGO,2009,949465.660028772
TGO,2010,961682.8928566728
TGO,2011,972303.0657308394
TGO,2012,982064.073858784
TGO,2013,991071.6657292992
TGO,2014,1000331.743787764
TGO,2015,971466.0005857924
TGO,2016,936387.9868152264
TGO,2017,897098.8440253008
TGO,2018,903223.4902497884
TGO,2019,908092.9206080108
TON,1991,12559.0142498652
TON,1992,12844.960359347302
TON,1993,13023.9352327889
TON,1994,12536.6700117798
TON,1995,12220.961968595098
TON,1996,12162.8986423074
TON,1997,12131.9294852404
TON,1998,12061.4925
TON,1999,11937.8717595932
TON,2000,11479.7739563724
TON,2001,11185.0749909652
TON,2002,11019.1102387044
TON,2003,10951.5566096814
TON,2004,10829.6093369943
TON,2005,10280.6372608776
TON,2006,9875.0336789728
TON,2007,9877.0757209559
TON,2008,9336.1554274896
TON,2009,8951.144869926
TON,2010,8583.571434282601
TON,2011,8222.046255572799
TON,2012,7861.748847602001
TON,2013,7766.8208733192
TON,2014,7525.2674941056
TON,2015,7161.5081275661005
TON,2016,6709.6833123528
TON,2017,6431.3506903505
TON,2018,6203.5221187576
TON,2019,6158.3043670612
TTO,1991,55695.8503088547
TTO,1992,55818.97980652
TTO,1993,55767.6192062304
TTO,1994,62920.9791590717
TTO,1995,55632.4121777274
TTO,1996,51652.31622406718
TTO,1997,52176.66
TTO,1998,45644.80636617522
TTO,1999,46176.815351704805
TTO,2000,41740.380709691184
TTO,2001,46133.56338650094
TTO,2002,41144.25429980694
TTO,2003,36421.0545864407
TTO,2004,29548.81834665048
TTO,2005,28446.0970028232
TTO,2006,29149.74618868224
TTO,2007,25302.781121454445
TTO,2008,25589.87639221132
TTO,2009,25715.53004248824
TTO,2010,24727.7903342346
TTO,2011,24274.971789240368
TTO,2012,24856.713266461804
TTO,2013,23634.655905834272
TTO,2014,24434.7174892949
TTO,2015,23078.13805079744
TTO,2016,21777.8275
TTO,2017,21298.84544874925
TTO,2018,20821.04499703865
TTO,2019,20269.36660600276
